name;ctrl1-01;rnase1-01;ctrl2-01;rnase2-01;ctrl3-01;rnase3-01;ctrl1-02;rnase1-02;ctrl2-02;rnase2-02;ctrl3-02;rnase3-02;ctrl1-03;rnase1-03;ctrl2-03;rnase2-03;ctrl3-03;rnase3-03;ctrl1-04;rnase1-04;ctrl2-04;rnase2-04;ctrl3-04;rnase3-04;ctrl1-05;rnase1-05;ctrl2-05;rnase2-05;ctrl3-05;rnase3-05;ctrl1-06;rnase1-06;ctrl2-06;rnase2-06;ctrl3-06;rnase3-06;ctrl1-07;rnase1-07;ctrl2-07;rnase2-07;ctrl3-07;rnase3-07;ctrl1-08;rnase1-08;ctrl2-08;rnase2-08;ctrl3-08;rnase3-08;ctrl1-09;rnase1-09;ctrl2-09;rnase2-09;ctrl3-09;rnase3-09;ctrl1-10;rnase1-10;ctrl2-10;rnase2-10;ctrl3-10;rnase3-10;ctrl1-11;rnase1-11;ctrl2-11;rnase2-11;ctrl3-11;rnase3-11;ctrl1-12;rnase1-12;ctrl2-12;rnase2-12;ctrl3-12;rnase3-12;ctrl1-13;rnase1-13;ctrl2-13;rnase2-13;ctrl3-13;rnase3-13;ctrl1-14;rnase1-14;ctrl2-14;rnase2-14;ctrl3-14;rnase3-14;ctrl1-15;rnase1-15;ctrl2-15;rnase2-15;ctrl3-15;rnase3-15;ctrl1-16;rnase1-16;ctrl2-16;rnase2-16;ctrl3-16;rnase3-16;ctrl1-17;rnase1-17;ctrl2-17;rnase2-17;ctrl3-17;rnase3-17;ctrl1-18;rnase1-18;ctrl2-18;rnase2-18;ctrl3-18;rnase3-18;ctrl1-19;rnase1-19;ctrl2-19;rnase2-19;ctrl3-19;rnase3-19;ctrl1-20;rnase1-20;ctrl2-20;rnase2-20;ctrl3-20;rnase3-20;ctrl1-21;rnase1-21;ctrl2-21;rnase2-21;ctrl3-21;rnase3-21;ctrl1-22;rnase1-22;ctrl2-22;rnase2-22;ctrl3-22;rnase3-22;ctrl1-23;rnase1-23;ctrl2-23;rnase2-23;ctrl3-23;rnase3-23;ctrl1-24;rnase1-24;ctrl2-24;rnase2-24;ctrl3-24;rnase3-24;ctrl1-25;rnase1-25;ctrl2-25;rnase2-25;ctrl3-25;rnase3-25
NUCL_HUMAN;245790.45;131631.78;228390.701;143404.11;234347.133;375159.18;77925.52;87250.307;46215.575;650379.04;104695.795;71337.614;337365.44;470036.8;510067.71;601243.66;436210.38;1355691.93;1379901.04;1472450.28;1286077.97;1527678.96;1187736.61;3712971.2;3205137.36;593200.958;1978851.6;2152236.74;954584.994;2982761.62;37978160.3;8429926.312;18379168.96;21638418.25;13146777.71;18707859.78;67053709.89;42301686.85;45782698.13;32308454.98;60059858.75;39497469.2;50872957.11;28563728.17;57677397.14;56751828.07;62206906.1;46361592.29;27557424.84;85272671.75;28857639.95;58664619.94;33103782.13;111156487.1;16150877.19;83898792.58;13650703.84;87019950.69;15989750.47;97313395.11;14159800.57;88984781.37;14056653.67;93185722.81;13787897.8;86560933.05;9908725.13;71523784.8;8223758.68;76984607.1;11177311.69;76956660.9;11501630.19;60266938.49;12900276.71;71335709.32;11683154.66;70777533.75;12105959.17;49946575.7;12786198.59;54634605.51;13039167.51;59234552.38;33098042.88;41301109.78;38976801.8;38615316.27;39559587.72;42600738.68;56355442.38;22139780.13;53438267.48;24192866.39;57604524.21;25635212.34;50152189.96;20044582.45;46890328.83;23154098.68;46672288.18;21356740.79;110092716.7;13821302.08;136667080;13937181.92;131234573.4;14271676.51;207271974.4;8763190.386;186872611.6;10973063.08;161424321.4;8921336.945;139614094.2;9689290.465;124332505.3;10816702.17;118488116.3;9726140.944;100688367.1;10199394.2;91116377.42;10215681.68;95691901.74;11179475;36051430.61;8111356.179;34193758.42;7340140.488;35661730.63;4397533.829;14118825.35;13065079.28;12155817.83;8148595.467;9474702.477;6697250.46;10147910.58;20139639.67;8792693.2;20139252.91;6624121.982;11336808.97;8207198.446;21719953.93;10507027.75;11778360.53;9394206.11;10155977.99
STMN1_HUMAN;82305.329;186335.12;264097.31;217224.97;224430.89;1728404.79;691593.294;643722.399;502068.813;4615458.8;888804.36;480714.831;2113486.48;2925183.42;3316018.81;4129794.97;2588776.31;6776724.5;9458141.5;10972135.9;8298320.6;12166434.1;8073274.1;10813079.3;5228247.1;1469964.1;5658619.6;4719568.7;3201186.1;7431850.2;558964.7;258204.22;208691.17;477571;242528;528922.9;249707.3;137590;127056.2;168730.8;86097.8;179792.6;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
RL31_HUMAN;68965.2;3124.9;61793.2;3563.54;76805.3;29019.3;832.05;8574.09;2373.89;249285.79;1665.48;9598.16;7165.34;72537;9983.41;97009.1;10040.8;465324;31437.2;216086;32680.5;292707;30784.7;961954;64258.29;143524.55;16949.992;476770.25;15586.371;1084243.8;107013.8;86485.9;16004.79;714474;14173.59;541335;157858.3;87176.7;14903.8;41938.5;12707.86;74877.9;22321.7;44259.9;200720;890334;28782.7;796461;279639.5;776889;298284.4;728932;469641.5;1762711;342676.9;569868.2;131807.1;509835.3;195727.1;532018.4;135510.4;280254.1;106290.97;373937.9;113019.24;56444.813;117144.54;317374.37;77317.22;311694.06;88412.63;328403.43;620938.01;1027582.7;648276.65;1310675.6;650682.96;1269817.4;1436491.9;1976447.6;1448734.1;2618009.1;1617378;2546861.8;6803913.51;1438161.74;8140427.12;1260925.05;7382058.63;1391722.8;12843336.43;518514.774;12399595.29;656126.989;14210822.9;637078.907;17895620.9;752130.509;14435821.6;884291.856;13568591.3;1067092.241;13575175.96;941387.596;13978770.48;464654.241;13646477.48;538410.39;20971200.4;590323.694;19336706.9;952017.285;17100133.8;1024878.291;22656940.46;1040874.48;20856412.24;1393418.282;21312841.81;1078311.284;14687721.5;780595.144;13438403.71;755485.473;15251762.3;1079627.258;7490755.78;1152112.719;7631267.56;1251490.066;8366272.5;683143.345;3184724.4;2240860;2905556.3;1303947.76;2382108.4;608384.08;2446236.63;3418777.6;2261631.74;2356229.42;1625569.85;1293558.77;1434694.08;13776041.22;2084450.029;2684604.77;1934857.133;3382616.671
RL29_HUMAN;64172.514;8320.34;59372.8;9090.56;61476.963;96557;0;0;0;0;0;0;12558.3;43966.5;27241.1;66095.2;22539.62;554030;29472.1;57540.2;27920.8;101076.5;31464.3;733313;41168.4;205873;15139.14;220140.2;10344.32;390236;426894;890716.36;122685.8;5231182.7;102957.7;2484957.95;2249785.35;6299078.59;467197.58;3587672.93;595683.714;6293112.13;567995.98;1328147.57;2269739.36;9504152.05;1032880.86;8612651.19;922170.06;2160237.3;830431.87;3107739.2;966370.5;3939720.8;2379970.95;5416664.9;1591762.85;5758916.5;2008319.14;5511675;1229973.11;4663316.5;1127091.51;5317133.1;1217247.54;1760050.7;2114756.16;8880721.33;1445308.29;10543801.8;2209026.6;9505116.7;739279.8;2109771.8;842445.4;2872059.1;843982.7;2730938.5;957149.5;1129623.3;884936.7;1771139.4;814121.96;1574752.5;3156134.65;1422478.428;4554900.64;1170027.753;3764344.1;1224019.755;6091095.2;569137.84;5921535.8;671681.78;5586791.7;758862.49;21183898.28;1625179.711;14970296.61;1815982.784;13931627.33;1763017.532;5975087.99;461143.32;7483417.02;352535.83;8003725.9;341440.47;19007694.54;505898.659;18188408.98;693167.039;17093390.2;871570.62;14968404.09;557517.809;13498180.31;830843.876;13044042.7;616627.691;6017188.45;290278.97;6369830.19;274782.36;6939443.25;391963.48;9713635.898;1384834.78;10244984.59;1299437.418;9534548.359;644747.06;1430753.7;508005.468;1374919.6;523869.767;878339.17;219504.622;1413302.044;1344168;1272665.739;1319167.19;956353.826;567045.14;1188199.535;10250403.97;1487141.105;2068213.48;1024357.398;2395817.2
SUMO2_HUMAN;61541.138;150084.98;172663.328;167024.835;179560.231;736479.69;847392.98;854916.87;424074.39;4381302.3;1023649.33;524302.04;8397681.209;11505579.3;12379205.36;12432838.5;9715643.74;19205329.46;16198659;17828735.6;13723817.3;18284984.6;15556373.8;17897143.8;30397964.8;3156995.56;16327114.9;17322410;12462434.1;29230681.9;10758133.9;2967053.9;2404393.5;5650676.6;2685272.1;8516782.1;5945405;1765993.53;3169053.06;3043570.97;2055920.57;3507332.49;85889.8;34217.27;666189.5;616623.6;67337.31;626241.9;5034.18;3506.23;5600.48;3261.09;7428.98;7692.73;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
PCNP_HUMAN;53521.61;127574.34;200556.948;139200.513;139679.68;793641.98;385376.009;420172.357;210195.468;2867637.01;507020.074;308838.935;1262366.07;1866027.55;1833729.47;2235690.69;1367773.78;3922714.373;4714962.01;4795719.94;3777356.56;5563632.46;4224664.61;6266281.15;4585761.51;855517.809;2472306.84;3507734.201;1856855.421;5750894.46;1274636.07;434044.872;291341.7;1072743.36;303886.34;1388008.64;790740.12;295756.88;290935.65;352879.11;223190.72;373291.13;16160.7;4981.51;39377;24329.3;13602.8;29127.1;0;0;0;0;0;0;1924.49;6174.04;2571.59;14146.8;3360.56;7399.25;43692.94;27764.26;48712.96;28335.15;46785.92;12020.9;6847.14;15174.9;6658.75;43278.9;7001.25;20035.3;44326.4;53091.6;48431.5;84487.4;48415.3;90030.3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;30260.2;990.948;37330.1;863.978;33906.8;893.496;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
RS19_HUMAN;50211.621;14147.371;45923.93;21940.96;59708.496;715508.1;1458.632;38599.25;13141.799;1881690.6;2326.746;36976.918;18857.989;766808.661;14528.6;1305995.33;42083.562;6780728.5;119344.977;4182609.06;142765.064;5540173.14;133667.203;14210088.7;370742.98;2333438.56;114740.999;12138118.3;218437.091;22476881.3;1079392.32;2199627.14;237230.93;11649230.09;220768.147;10485646.3;1578756.409;2706369.35;211137.91;2101693.05;241583.87;3342057.25;340816.46;999707.23;2573070.98;13771720.7;416481.56;12126073.5;1182067.056;5668822.15;1182811.85;5254566.11;1432848.9;8889674.8;1277508.79;5670560.4;700501.74;5143958.2;965880.5;5088392.5;542061.09;2195793.3;517613.38;2403306.6;535499.33;561715.82;686991.5;2370374.1;492377.42;2727432.6;677715.38;2682356.7;646168.9;988142.76;692003.45;1559277.8;585064.7;1654243.95;891490.17;971168.47;951757.24;1696038.31;1092498.01;1601684.38;4252748.231;723087.99;4014973.67;902795.85;4088928.26;1061049.976;8484412.16;364502.276;7325221.97;452250.474;7116237.11;517955.575;12130405.31;271652.803;8752009.14;394678.178;8762594.7;346143.085;12046059.36;271968.714;14333899.81;217768.376;13982661.67;192476.778;10390539.49;48982.548;8839345.84;98952.827;8666432.4;91878.737;11316019.1;79049.148;9989122.4;162369.16;10152148.9;102796.025;5113939.79;23438.043;4314962.03;26625.466;5217203.96;38389.674;3853545.88;54904.97;4071835.64;108404.428;4340188.06;57623.734;1188831.68;121306.28;1041799.58;55930.88;842738.87;26832.587;1120261.078;219523.929;1046171.95;150003.08;739163.46;84482.998;473432.425;302542.85;585258.88;93107.571;509108.02;94802.585
RS4X_HUMAN;42869.5;6016.37;37222.2;9982.17;40681.8;21623.32;0;0;0;0;0;0;6717.05;9357.06;8244.781;12984.23;7055.25;122695.8;86842.17;97683.3;69871.63;121207.4;72594.33;1042590;28357.5;16879.52;2683.597;56358.7;6696.91;135702;278776.8;79444.6;39530.48;882701;32820.8;517357.3;158922.3;114080.3;15288.71;83470.1;15855.52;97996.5;55152.272;99495.5;708434.54;2737412.5;68750.04;2415350.6;614988.9;2179830;560032.6;2035688;897906.3;4548529;1875093.97;5081138.3;829714.49;4196634.7;1183097.85;4461526.7;774182.1;2864255;726228.2;3915448;706996.8;389621.9;655552.72;2781646.6;432603.96;2588283.8;578169.41;2924579.8;1204783.5;4126704;1181918;4598983;1015226.5;5062964;1229782.06;3575412.39;1299900.16;4522071.8;1391894.28;4802706.99;4178352.87;4493493.87;6392955.82;5021740.55;5268746.22;5301673.07;13491524.93;2662995.352;13668451.36;2983722.766;14387206.84;3418598.467;18475578.08;2253742.25;13334447.53;3281382.144;12553971.19;3502246.424;18468584.11;2298266.286;18615955.23;1706071.322;19480203.34;1885313.107;37168892.9;1386409.396;31187897.5;1925399.866;23806137.09;2241753.822;19314444.52;941514.13;15338998.83;1324353.09;15665095.37;1071443.705;13889513.68;795234.81;11865043.53;694354.533;12175507.36;1079327.424;7338203.3;997150.966;8142784.689;1057641.283;8171698.11;684221.097;2802756.92;1313109.32;2582927.94;1080089.26;1998468.19;637955.99;1567233;1407082.5;1533984.8;1338618.95;958021.04;800270.36;1128176.027;10353528.8;1612685.164;1946469.27;1216935.869;3598595.154
G3P_HUMAN;42420.682;73567.54;27846.01;76105.85;62379.33;241602.9;102092.28;60758.99;118202.88;1316499;76118.43;78533.67;266422.148;279412.26;452992.855;333138.615;285599.261;2807927.97;677095.62;366582.01;544226.696;507638.176;551368.8;6258047.8;2482552.85;2280298.804;392563.8;2093397.901;632559.142;2943592.38;16243194.34;2531358.57;3594617.522;70422883;3981195.807;9824236.36;74647365.65;33282692.35;3466792.551;6312265.22;7142498.76;8822522.12;12858173.54;9050163.923;140022518;165984801.5;9745818.42;118769803.9;129835994.8;68349226.09;123790636.1;113178227.4;162489688;166189197.7;96035645.9;41433488.03;49357264.58;65455334.61;72186237.33;50280674.54;37763743.2;25024305.5;44455574.5;53014767.9;45152026.1;4878827.633;11400996.9;11077827.3;13562035.5;22532429.3;17004688.2;12131610.84;5639816.24;4804782.84;9443096.2;9936628.54;8052420.82;5462641.13;2382606.64;1463941.78;2836154.14;3699990.21;2394637.08;1860478;693050.35;575444.868;790809.966;607689.57;877242.55;528680.093;683243.508;471558.506;834589.339;451868.772;872374.81;390844.382;1254059.48;446728.59;1130482.525;709748.61;1105881.71;514721.278;779640.237;439148.703;693877.2;360136.374;763978.102;371568.282;683402.26;204443.151;520510.61;381989.68;504696.16;253465.56;373892.65;114039.156;295550.56;270740.71;360780.642;144638.96;490699.413;133732.65;501158.77;152077.49;517675.2;148443.319;382429.51;108480.048;307466.171;229977.913;376426.6;92619.91;343056.48;202888.68;260769.35;152370.83;310227.29;100742.593;509221.8;459586.53;428176.505;245844.7;410747.1;157917.82;246345.59;531536.753;371548.239;266980.426;293566.57;270907.473
HDGF_HUMAN;41122.696;98488.638;175369.387;73255.044;110811.963;1165715.96;188867.86;189651.768;114112.578;2142583.6;359227.69;157693.69;2080182.444;2410620.89;2551492.68;3366877.35;2922136.48;9485428.99;7990597.471;6874484.096;6120456.354;7830095.366;6638974.709;13503187.09;8297467.528;1066258.888;4597002.744;12107342.93;3134264.05;11229779.52;8866122.8;2374696.71;3417088.14;4793145.5;3268554.33;9093173.8;6049326.4;1259475.48;2578935.7;2043939.9;2334237.6;2195989.9;1061862.9;125490.199;3233932.48;1311114.19;942786.93;1476371.81;196468.9;78295.4;233614.3;105210.78;280716.4;140239.66;70499.1;21729.61;52589.5;33706.6;65263.2;18871.89;12130.58;4134.64;13288.16;5578.13;13704.09;463.792;608.847;419.85;1643.33;999.377;1932.56;918.886;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
RL14_HUMAN;38142.2;7040.08;30456.2;5279.49;26323.53;13518.02;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;34456.2;50587.4;26790;32922;23854.5;54996.4;1373.16;1655.37;28833.4;32809.9;1042;26955.4;131936.9;130437.1;164918;127626.1;88463.3;66651;701812.9;1089578.5;398494.3;667010.5;469886;672282.6;562952.1;1601170.4;477945.2;1358616.2;514964.8;312353.87;877696.9;3058808.5;684155;3048935.4;1141720.2;3212429.2;918321.7;1866525.9;847514.8;2018045.5;783565.5;2193813;1414773.06;1774913.07;1470110.457;1876956.39;1304429.16;2020577.06;2064528.66;799666.12;2930915.28;911980.85;2778215.61;935139.76;13037738.7;1279271.39;10845118.4;1486336.53;10716662.64;1576381.15;5537064.36;860704.18;4511899.62;858691.162;6298837.3;841501.03;6766621;504999.48;8063598;280267.13;8447329;255129.89;15663571.6;615878.93;15216117.8;1164731.75;17545750.7;1126141.48;13401651.82;523334.88;11470087.28;784680.341;10675368.25;570870.48;12620763.56;800804.77;10494323.12;638740.23;10936740.25;828988.49;3421444.22;706716.335;3339363.93;528825.804;3085972.18;247443.376;1738081.13;667199.53;1549464.09;597339.883;1106117.79;297138.82;870722.03;697437.29;734455.55;1016185.46;510369.61;450370.259;1312431.471;16054703.15;1064005.473;3112626.14;985981.774;2568111.101
NUCKS_HUMAN;30244.51;62635.96;121297.42;50007.81;61404.07;1026384;343571.151;391957.89;241994.423;4989706;885640.19;304046.53;608106.68;782765.72;619617.09;831600.48;911674.69;2228892.15;3763004.44;5056344.4;4307500.464;6309263.358;4798069.08;8935524.96;8791864.26;1758309.3;6412471.55;7433348.185;4521978.45;10240799.13;9181690.78;5588820.43;9389845.66;5075876.84;10358938.36;8478543.4;6008208.6;2965161.81;6636663;5715635.6;7022824.7;4681375.2;405202.6;70502.11;1456318;761223;264028.3;864209;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;5617.71;10319.5;8534.06;13393;7883.39;13822;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
IF5A1_HUMAN;28621.33;80233.691;77182.16;107932.909;86372.532;632674.17;328212.556;298065.504;165096.598;3698367.24;407110.998;270353.553;2510220.875;4079881.582;2450394.916;4156364.8;2525320.572;9190903.36;16134554;13830179.13;11453630.5;16336375.9;13398344.94;24718043.41;13786254.7;800443.035;3490736.51;8459644.22;3562367.87;14094939;44015169.8;3725639.54;4537973.05;12921031.08;4531977.59;21950697.51;17761748.5;1084238.93;2607374.93;1872214.83;1814797.45;1945752.55;504613.11;78924.46;4933005.7;2437424.7;280584.473;2750505.2;615231;338226.8;676387.1;380686.9;1158890.7;805601.3;187066;87590.1;101549;112050;152141;88645.3;116906;54197.9;98338.3;89624.9;105353;11320.8;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;55831.1;33390.5;62312.4;52017.3;70955.6;48467.2;0;0;0;0;0;0;38592.5;12552.4;33421.7;19802.8;33932.9;15462.3;120382;47607.4;105424;29389.9;120686;27081.1;107180;10582.6;86245;25328;76961.9;25647.9;89806.9;9551.91;62121.7;22090.5;72095.9;14181.8;16422.8;912.89;12294.5;965.274;13244.8;3368.47;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
NOLC1_HUMAN;26928.23;6739.17;26026.81;6646.33;29827.73;191081.3;20934.977;28179.84;17917.394;1062686;24270.223;30709.299;24947.02;108806.996;42857.584;134092.06;49576.436;928690.8;248348.77;866345.8;297745.2;1203108.3;278327.68;4922973;670908.82;1030084.11;406769.4;2084755.748;244405.87;3827272.9;2619091.14;7467018.999;1437414.195;20257676.85;1221928.75;10832723.05;11361372.27;61650998.03;4962373.43;49860903.56;5604374.305;60126518.43;3188037.697;10905408.14;6613182.08;48820498.6;4848225.803;44853114.1;6139030.45;18140410.15;5732757.17;20436557.9;6693381.974;29704440.01;5891961.187;9997156.93;4647145.447;13638975.24;5736890.545;13360928.4;4476186.256;8272842.44;4799986.464;11416884.23;4804931.989;7924475.858;2115708;4055066.73;1775216.116;5314394.02;2419760.64;4610003.37;1887979.4;2044396.19;2207167.72;2908560.4;2196426.12;2466813.55;2025079.54;1650349.45;2185370.32;2081727.46;2237612.28;2063819.78;3860848.26;1157282.304;4585812.29;1312320.754;4712897.29;1339097.641;7856907.4;690202.307;7650002;887259.28;8100853.2;822197.05;7555277.3;573463.232;7415644.04;750341.535;6529784.48;620114.36;19944327.86;602447.621;26427219.68;365334.655;25676987.47;330117.81;48423971.52;207761.84;45540990.11;554204.12;39051880.75;511299.68;32886921.26;177315.465;30490326.62;428932.574;28812437.45;279428.188;25790519.17;234776.391;25272841.43;182009.199;25465907.92;287267.864;12697131.17;188468.574;12115953.91;234968.238;12952157.91;98500.349;5952431.29;552931.419;5268515.03;330545.232;4254951.8;249421.63;4205822.33;982197.89;4037374.445;757714.472;3257643.093;486036.724;2171266.35;3482294.27;3104675.42;752118.542;2828049.66;973807.902
HN1L_HUMAN;25983.509;60015.452;95520.12;60635.331;62993.881;408665.01;261624.809;258673.854;109484.766;1209780.49;285922.23;183948.011;1729623.98;2312331.93;2958411.71;3092135.3;1796368.31;4692412.593;6128596.76;6820552.64;5300862.99;7005912.2;5134032.2;6606312.3;5388756;1447649.02;4080989.7;3650872.2;2759078.27;5405408.9;368532.07;141971.52;164009.77;195231.27;207735.64;269377.64;44061.2;24191.1;38705.7;36079.5;30870.2;35354.6;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
NLTP_HUMAN;24780.581;50215.01;59697.28;87716.75;55380.34;650924.5;132358.415;116180.59;101720.631;1410348.83;148699.661;91691.114;2409008.68;4051135.53;3277013.15;5175797.19;3325097.73;12187549.5;10348186.09;10631688.27;7519042.4;12253723.55;7614384.02;17603073.04;9793534.84;812432.39;2773910.5;6476233.68;2678944.22;11299537.6;9050272.8;835250.04;945778.75;3874692.7;850450.03;6265819.7;1186724;94404.8;114837;120837.5;82361.4;130525;17066.71;5000.56;211361.5;128554;8527.2;145021.2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
RS7_HUMAN;23895.822;9232.613;26930.5;9191.607;26918;395008.1;1053.91;26066.3;8471.861;1037195.9;380.658;24210.562;8139.27;689339.065;23116.203;765437.84;50539.65;5427140.72;140210.129;2458715.652;158444.348;3173923.08;143146.575;12907916.98;309152.822;989204.596;78219.488;4914617.32;96287.576;9665510.7;437483.46;555932.75;46977.206;3442540.4;41456.52;3553821;1788194.59;1291035.1;128663.277;930289.8;129889.461;1200751.2;217685.352;451476.038;2741752.87;10800187;217946.879;9967929.7;671345.46;1794278.96;617249.94;1851868.43;1052203.39;4239871.5;1583403.42;3359704.57;639317.915;3279343.49;931901.93;3332585.27;587456.522;1604352.33;501281.353;1715272.37;490540.63;253734.35;506026.02;1380081.27;413085.957;1413128.2;496010.66;1386288.48;472192.97;769514.14;558100.77;1110255.44;457051.61;1188612.14;324990.71;318333.86;372069.6;447042.26;462671.09;458149.48;823684.7;172449.11;979642;224167.55;944825.68;226484.5;2138972.25;104021.043;2346877.59;133118.917;2717832.5;154865.96;3197111.45;77596.635;2629382.83;121091.079;2169344.17;115629.171;2720115.72;56870.632;3031662.17;50532.615;3035552.08;52039.056;10046701.18;67448.874;9361071.575;87559.635;7301627.539;70332.533;5046379.282;40483.269;4113309.623;54895.724;4152317.8;25788.185;3173425.06;28754;2982474.21;30469.31;3041458.07;50288.01;1199128.33;29707.783;1205280.98;47705.29;1305908.49;25609.538;662409.4;142624.26;611054.6;69854.39;484565.6;42279.46;430328.6;168366.96;412529.5;100704.17;305291.8;65480.18;298795.81;506898.4;455871.5;109826.923;356062.65;176033.93
RS26_HUMAN;22962.8;2665.1;19031;3142.62;23003.3;6434.14;0;0;0;0;0;0;906.09;3720.23;1727.35;3672.27;930.662;18018.4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;64106.5;74800.6;92631.5;50273.3;110350;141878;96413.13;165670.296;76625.825;187994.512;90223.27;202841;25386.9;43425.6;25351.7;46145.1;26291.7;5767.75;210837.3;429817;169474.1;433236;213615.7;468634;180681.4;324163.3;210898.6;376707.4;197819.4;373913;289916;407173;323584;395520;314862;476713;374185.82;191167.73;426966.54;187867.09;389031.91;183535.73;1936416.1;195060.92;1623240.4;232029.19;1911328.8;248821.04;655078.3;69176.7;713794.3;85728.68;651358.1;79811.59;1836897.9;198415.11;2225970.9;135789.13;2091823.9;117579.889;1267459.532;42844.052;1168682.579;69575.37;904200.363;53449.85;917931.8;35295.454;817256.1;60054.6;729746.7;39373.486;1225991.488;60821.995;1107496.86;40205.77;1127389.63;72894.844;177461.7;13482.3;195240.2;14522.098;194344.2;9721.51;168529.63;66103.259;163694.63;41861.63;131470.06;28031.263;318054.8;262396.59;291572.44;179398.72;246375.74;126586.98;65409.509;684391.4;94034.71;111052.65;76580.75;203878.31
CYC_HUMAN;21771.8;24622.89;23571.56;35747.46;16786.244;439340.9;96982.63;108575.34;67083.092;974877.778;121223.224;112141.29;816220.409;983510.05;832053.45;1247613.69;766319.11;2685068.59;3189945.27;2383961.15;2148719.936;2560888.391;2225856.41;4205967.17;1012952.68;147295.547;253195.89;509602.13;345134.49;1216824.71;3791549;411046;475410;2287349;521037;2475077;60648.7;11611.6;16016.8;13905.6;13169.2;16875.8;180234;52165.4;1090982;512199;95525;571804;72227.3;46757.9;75170.5;70406.3;140221;78724.2;0;0;0;0;0;0;0;0;0;0;0;0;18966.9;13068.5;11834.1;13898.9;14083.6;14889.4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
